"","year","week","province","count"
"4387",2017,10,"Damascus",2
"4388",2017,10,"Daraa",42
"4389",2017,10,"Deir.Ezzor",6
"4390",2017,10,"Hama",4
"4391",2017,10,"Homs",14
"4392",2017,10,"Idlib",28
"4393",2017,10,"Lattakia",2
"4394",2017,10,"Quneitra",0
"4395",2017,10,"Damascus.Suburbs",28
"4396",2017,10,"Tartous",0
"4397",2017,11,"Hasakeh",1
"4398",2017,11,"Aleppo",97
"4399",2017,11,"Raqqa",13
"4400",2017,11,"Sweida",0
"4401",2017,11,"Damascus",37
"4402",2017,11,"Daraa",30
"4403",2017,11,"Deir.Ezzor",17
"4404",2017,11,"Hama",8
"4405",2017,11,"Homs",14
"4406",2017,11,"Idlib",28
"4407",2017,11,"Lattakia",1
"4408",2017,11,"Quneitra",1
"4409",2017,11,"Damascus.Suburbs",47
"4410",2017,11,"Tartous",1
"4411",2017,12,"Hasakeh",2
"4412",2017,12,"Aleppo",48
"4413",2017,12,"Raqqa",46
"4414",2017,12,"Sweida",0
"4415",2017,12,"Damascus",12
"4416",2017,12,"Daraa",16
"4417",2017,12,"Deir.Ezzor",10
"4418",2017,12,"Hama",37
"4419",2017,12,"Homs",31
"4420",2017,12,"Idlib",68
"4421",2017,12,"Lattakia",0
"4422",2017,12,"Quneitra",2
"4423",2017,12,"Damascus.Suburbs",76
"4424",2017,12,"Tartous",0
"4425",2017,13,"Hasakeh",1
"4426",2017,13,"Aleppo",15
"4427",2017,13,"Raqqa",29
"4428",2017,13,"Sweida",0
"4429",2017,13,"Damascus",5
"4430",2017,13,"Daraa",29
"4431",2017,13,"Deir.Ezzor",4
"4432",2017,13,"Hama",26
"4433",2017,13,"Homs",7
"4434",2017,13,"Idlib",33
"4435",2017,13,"Lattakia",1
"4436",2017,13,"Quneitra",0
"4437",2017,13,"Damascus.Suburbs",32
"4438",2017,13,"Tartous",0
"4439",2017,14,"Hasakeh",0
"4440",2017,14,"Aleppo",49
"4441",2017,14,"Raqqa",15
"4442",2017,14,"Sweida",0
"4443",2017,14,"Damascus",11
"4444",2017,14,"Daraa",49
"4445",2017,14,"Deir.Ezzor",6
"4446",2017,14,"Hama",65
"4447",2017,14,"Homs",25
"4448",2017,14,"Idlib",144
"4449",2017,14,"Lattakia",1
"4450",2017,14,"Quneitra",0
"4451",2017,14,"Damascus.Suburbs",87
"4452",2017,14,"Tartous",0
"4453",2017,15,"Hasakeh",0
"4454",2017,15,"Aleppo",17
"4455",2017,15,"Raqqa",5
"4456",2017,15,"Sweida",0
"4457",2017,15,"Damascus",12
"4458",2017,15,"Daraa",38
"4459",2017,15,"Deir.Ezzor",14
"4460",2017,15,"Hama",19
"4461",2017,15,"Homs",9
"4462",2017,15,"Idlib",29
"4463",2017,15,"Lattakia",0
"4464",2017,15,"Quneitra",0
"4465",2017,15,"Damascus.Suburbs",41
"4466",2017,15,"Tartous",1
"4467",2017,16,"Hasakeh",0
"4468",2017,16,"Aleppo",21
"4469",2017,16,"Raqqa",0
"4470",2017,16,"Sweida",0
"4471",2017,16,"Damascus",11
"4472",2017,16,"Daraa",24
"4473",2017,16,"Deir.Ezzor",30
"4474",2017,16,"Hama",35
"4475",2017,16,"Homs",13
"4476",2017,16,"Idlib",39
"4477",2017,16,"Lattakia",0
"4478",2017,16,"Quneitra",0
"4479",2017,16,"Damascus.Suburbs",35
"4480",2017,16,"Tartous",0
"4481",2017,17,"Hasakeh",0
"4482",2017,17,"Aleppo",12
"4483",2017,17,"Raqqa",7
"4484",2017,17,"Sweida",0
"4485",2017,17,"Damascus",5
"4486",2017,17,"Daraa",48
"4487",2017,17,"Deir.Ezzor",1
"4488",2017,17,"Hama",59
"4489",2017,17,"Homs",22
"4490",2017,17,"Idlib",56
"4491",2017,17,"Lattakia",0
"4492",2017,17,"Quneitra",0
"4493",2017,17,"Damascus.Suburbs",95
"4494",2017,17,"Tartous",4
"4495",2017,18,"Hasakeh",0
"4496",2017,18,"Aleppo",25
"4497",2017,18,"Raqqa",3
"4498",2017,18,"Sweida",0
"4499",2017,18,"Damascus",20
"4500",2017,18,"Daraa",25
"4501",2017,18,"Deir.Ezzor",20
"4502",2017,18,"Hama",39
"4503",2017,18,"Homs",18
"4504",2017,18,"Idlib",38
"4505",2017,18,"Lattakia",0
"4506",2017,18,"Quneitra",0
"4507",2017,18,"Damascus.Suburbs",83
"4508",2017,18,"Tartous",0
"4509",2017,19,"Hasakeh",0
"4510",2017,19,"Aleppo",40
"4511",2017,19,"Raqqa",12
"4512",2017,19,"Sweida",0
"4513",2017,19,"Damascus",1
"4514",2017,19,"Daraa",16
"4515",2017,19,"Deir.Ezzor",57
"4516",2017,19,"Hama",8
"4517",2017,19,"Homs",20
"4518",2017,19,"Idlib",15
"4519",2017,19,"Lattakia",0
"4520",2017,19,"Quneitra",1
"4521",2017,19,"Damascus.Suburbs",18
"4522",2017,19,"Tartous",0
"4523",2017,20,"Hasakeh",0
"4524",2017,20,"Aleppo",18
"4525",2017,20,"Raqqa",1
"4526",2017,20,"Sweida",0
"4527",2017,20,"Damascus",3
"4528",2017,20,"Daraa",23
"4529",2017,20,"Deir.Ezzor",55
"4530",2017,20,"Hama",20
"4531",2017,20,"Homs",13
"4532",2017,20,"Idlib",9
"4533",2017,20,"Lattakia",0
"4534",2017,20,"Quneitra",0
"4535",2017,20,"Damascus.Suburbs",26
"4536",2017,20,"Tartous",0
"4537",2017,21,"Hasakeh",0
"4538",2017,21,"Aleppo",37
"4539",2017,21,"Raqqa",11
"4540",2017,21,"Sweida",0
"4541",2017,21,"Damascus",4
"4542",2017,21,"Daraa",21
"4543",2017,21,"Deir.Ezzor",47
"4544",2017,21,"Hama",13
"4545",2017,21,"Homs",37
"4546",2017,21,"Idlib",6
"4547",2017,21,"Lattakia",0
"4548",2017,21,"Quneitra",0
"4549",2017,21,"Damascus.Suburbs",10
"4550",2017,21,"Tartous",0
"4551",2017,22,"Hasakeh",0
"4552",2017,22,"Aleppo",25
"4553",2017,22,"Raqqa",0
"4554",2017,22,"Sweida",0
"4555",2017,22,"Damascus",7
"4556",2017,22,"Daraa",53
"4557",2017,22,"Deir.Ezzor",40
"4558",2017,22,"Hama",5
"4559",2017,22,"Homs",4
