year,week,province,Civilian,Non-Civilian,Adult - Female,Adult - Male,Child - Female,Child - Male,Chemical and toxic gases,Detention - Execution,Detention - Torture,Detention - Torture - Execution,Explosion,Field Execution,Kidnapping - Execution,Kidnapping - Torture,Kidnapping - Torture - Execution,Other,Shelling,Shooting,Siege,Un-allowed to seek Medical help,Unknown,Warplane shelling,total
2011,23,Homs,8,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,8
2011,23,Idlib,25,8,1,31,0,1,0,0,0,0,0,3,0,0,0,0,0,30,0,0,0,0,33
2011,23,Lattakia,21,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21
2011,23,Quneitra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,23,Raqqa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,23,Sweida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,23,Tartous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,24,Aleppo,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,24,Damascus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,24,Damascus Suburbs,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
2011,24,Daraa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,24,Deir Ezzor,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
2011,24,Hama,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,24,Hasakeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,24,Homs,6,0,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,6
2011,24,Idlib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,24,Lattakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,24,Quneitra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,24,Raqqa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,24,Sweida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,24,Tartous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,25,Aleppo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,25,Damascus,5,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5
2011,25,Damascus Suburbs,5,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
2011,25,Daraa,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,25,Deir Ezzor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,25,Hama,10,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
2011,25,Hasakeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,25,Homs,15,0,0,13,0,2,0,0,1,0,0,0,0,0,0,0,1,13,0,0,0,0,15
2011,25,Idlib,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2011,25,Lattakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,25,Quneitra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,25,Raqqa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,25,Sweida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,25,Tartous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,26,Aleppo,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2011,26,Damascus,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
2011,26,Damascus Suburbs,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,26,Daraa,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,26,Deir Ezzor,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2011,26,Hama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,26,Hasakeh,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,26,Homs,15,1,1,13,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
2011,26,Idlib,12,4,2,14,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,16
2011,26,Lattakia,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2011,26,Quneitra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,26,Raqqa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,26,Sweida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,26,Tartous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
